(0, 6):for 	 p.Purpose
(342, 28):with 	 p.Stimulus
(343, 3):in 	 p.Direction
(343, 4):about 	 p.Approximator
(343, 7):to 	 p.Purpose
(343, 10):for 	 p.Recipient
(343, 13):my 	 p.SocialRel
(343, 18):at 	 p.Org
(344, 7):with 	 p.Topic
(344, 8):their 	 p.Gestalt
(344, 14):during 	 p.Time
(345, 8):for 	 p.Beneficiary
(345, 9):my 	 p.SocialRel
(345, 11):at 	 p.Locus
(346, 5):for 	 p.Circumstance
(346, 13):from 	 p.Source
(346, 17):with 	 p.Stimulus
(347, 8):during 	 p.Time
(347, 16):by 	 p.Agent
(348, 6):for 	 p.Beneficiary
(348, 12):for 	 p.Beneficiary
(349, 3):as 	 p.Identity
(350, 1):Since 	 p.Explanation
(350, 11):to 	 p.Recipient
(351, 4):through 	 p.Instrument
(351, 11):of 	 p.QuantityItem
(351, 12):my 	 p.SocialRel
(352, 11):her 	 p.Agent
(353, 4):through 	 p.Path
(353, 14):'s 	 p.Agent
(354, 4):in 	 p.Locus
(355, 1):After 	 p.Time
(355, 5):over 	 p.Path
(355, 12):in 	 p.Locus
(355, 20):in 	 p.Time
(355, 29):in 	 p.Path
(355, 32):around 	 p.Path
(355, 44):on 	 p.Locus
(355, 47):in 	 p.Time
(356, 6):of 	 p.QuantityItem
(356, 24):for 	 p.Theme
(356, 38):to 	 p.Purpose
(357, 3):in 	 p.Locus
(358, 12):of 	 p.Whole
(359, 5):beyond 	 p.Extent
(359, 10):your 	 p.Possessor
(359, 15):to 	 p.Goal
(360, 16):for 	 p.Cost
(361, 5):back 	 p.Direction
(361, 6):for 	 p.Duration
(362, 4):your 	 p.Possessor
(363, 3):my 	 p.SocialRel
(363, 9):at 	 p.Time
(364, 8):my 	 p.SocialRel
(364, 16):of 	 p.QuantityItem
(364, 19):round 	 p.Path
(364, 25):over 	 p.Approximator
(365, 14):with 	 p.Theme
(366, 6):for 	 p.Purpose
(366, 24):for 	 p.Beneficiary
(367, 2):For 	 p.Explanation
(367, 20):by 	 p.Originator
(368, 9):to 	 p.Topic
(368, 12):your 	 p.Gestalt
(369, 1):As 	 p.Identity
(369, 23):of 	 p.Gestalt
(369, 24):your 	 p.Beneficiary
(369, 26):to 	 p.Purpose
(370, 6):over 	 p.ComparisonRef
(370, 21):at 	 p.Locus
(370, 22):my 	 p.Gestalt
(371, 5):of 	 p.Identity
(371, 6):my 	 p.Gestalt
(372, 6):with 	 p.Ensemble
(373, 12):your 	 p.Possessor
(374, 2):to 	 p.Goal
(374, 9):for 	 p.Purpose
(375, 18):their 	 p.Agent
(376, 18):on 	 p.Locus
(376, 34):with 	 p.Ensemble
(376, 43):of 	 p.QuantityItem
